name,pa,single,double,triple,home_run,strikeout,walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,r_total_stolen_base,b_hit_ground,b_hit_fly,b_hit_line_drive,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,exit_velocity_avg,launch_angle_avg,barrel,barrel_batted_rate,hard_hit_percent,straightaway_percent,linedrives_percent,hp_to_1b,sprint_speed,Dir,ER,ZR,infield,outfield,Both
Christian Arroyo,206,28,16,0,3,45,7,0.241,0.369,0.268,0.637,3,1,19,8,20,25,52,17,10,86.3,11.1,7,4.6,32.7,37.9,25.5,4.43,27.7,R,0.0176991150442478,0.993,TRUE,FALSE,FALSE
Trea Turner,691,104,35,5,26,150,45,0.266,0.459,0.320,0.779,0,30,54,36,80,114,143,36,27,89.9,13,41,8.4,42.2,40.6,23.7,4.14,30.3,R,0.130681818181818,0.960,TRUE,FALSE,FALSE
Oswaldo Cabrera,330,47,11,0,5,72,25,0.211,0.299,0.275,0.574,0,8,26,10,27,51,86,10,21,87.8,13.4,8,3.5,32.5,35.9,16,4.42,27.8,S,0.0373134328358209,0.973,FALSE,FALSE,TRUE
Ryan Noda,495,54,22,1,16,170,77,0.229,0.406,0.364,0.770,1,3,25,24,44,48,68,18,11,91.2,16,31,13,45,31.9,26.1,4.48,27.3,L,0.00954979536152797,0.991,FALSE,FALSE,TRUE
Ildemaro Vargas,286,47,13,2,4,20,19,0.252,0.363,0.304,0.667,1,1,27,9,30,32,114,19,14,87.1,4.1,6,2.4,31.3,39.4,20.3,4.44,27.0,S,0.075,0.974,FALSE,FALSE,TRUE
Harold Castro,270,51,13,0,1,66,9,0.252,0.314,0.275,0.589,0,1,21,6,38,41,70,15,3,86.2,10,6,3.1,28.7,37.9,27.7,4.44,26.5,L,0.0229007633587786,0.990,FALSE,FALSE,TRUE
Gabriel Arias,345,41,15,0,10,113,28,0.210,0.352,0.275,0.627,4,3,24,14,28,28,83,17,8,91.1,3.7,20,9.9,46.3,37.4,22.7,4.44,28.0,R,0.0263157894736842,0.984,FALSE,FALSE,TRUE
Carlos Correa,580,69,29,2,18,131,59,0.230,0.399,0.312,0.711,0,0,40,20,58,63,139,36,28,90.4,10.6,37,9.6,45.9,37.3,24.9,4.61,26.6,R,0.036144578313253,0.987,TRUE,FALSE,FALSE
Kole Calhoun,174,21,7,0,6,37,13,0.217,0.376,0.282,0.658,1,0,5,10,19,30,35,9,14,86.6,19.9,8,6.6,35.2,40.2,23,4.76,25.0,L,0,1.000,FALSE,FALSE,TRUE
Nick Ahmed,210,29,10,1,2,52,12,0.212,0.303,0.257,0.560,1,5,17,3,22,29,46,16,13,85.2,12.8,4,2.7,31.5,39,26,4.44,28.1,R,0.106666666666667,0.963,TRUE,FALSE,FALSE
Isiah Kiner-Falefa,361,60,12,1,6,70,28,0.242,0.340,0.306,0.646,5,14,33,13,33,39,98,35,9,88.8,7.2,8,3.1,39.2,41.2,26.2,4.37,27.7,R,0.0340909090909091,0.976,FALSE,FALSE,TRUE
Marcell Ozuna,592,75,29,1,40,134,57,0.274,0.558,0.346,0.904,0,0,34,53,58,76,125,28,23,91.8,15.6,66,16.6,49,30.9,21.9,4.74,26.4,R,0,1.000,FALSE,TRUE,FALSE
Brice Turang,448,70,9,3,6,94,38,0.218,0.300,0.285,0.585,4,26,34,13,41,66,100,33,26,85.5,12.6,9,2.9,27,40.3,24.1,4.19,29.4,L,0.0333333333333333,0.988,TRUE,FALSE,FALSE
Austin Wells,75,6,6,0,4,14,3,0.229,0.486,0.257,0.743,0,0,4,6,6,13,23,2,2,89.5,13.6,8,14,42.1,43.9,15.8,4.61,26.7,L,0.00584795321637427,0.994,TRUE,FALSE,FALSE
Nick Pratto,345,48,16,0,7,138,29,0.232,0.353,0.307,0.660,1,1,14,14,43,28,49,10,14,87.5,13.4,14,8.1,41.9,39,30.8,4.5,26.3,L,0.00731261425959781,0.993,FALSE,FALSE,TRUE
Mike Zunino,140,12,7,0,3,61,15,0.177,0.306,0.271,0.577,0,0,10,6,6,9,20,5,7,85.9,15.1,5,7.9,34.9,33.3,17.5,4.75,26.0,R,0.0108695652173913,0.990,TRUE,FALSE,FALSE
Francisco Lindor,687,87,33,2,31,137,66,0.254,0.470,0.336,0.806,4,31,38,37,77,111,123,36,48,91.2,19.2,49,10.4,43.9,35.4,24.2,4.35,28.1,S,0.0607734806629834,0.981,TRUE,FALSE,FALSE
Emmanuel Rivera,283,50,13,0,4,56,22,0.261,0.358,0.314,0.672,0,1,25,5,37,46,64,20,7,90.7,11.2,12,5.9,46.3,40,28.3,4.64,27.1,R,0.043956043956044,0.978,TRUE,FALSE,FALSE
Ozzie Albies,660,99,30,5,33,107,46,0.280,0.513,0.336,0.849,1,13,39,53,75,115,144,39,28,88.7,16.6,41,8.2,39,31.6,23.7,4.21,27.6,S,0.037914691943128,0.986,TRUE,FALSE,FALSE
Ha-Seong Kim,626,100,23,0,17,124,75,0.260,0.398,0.351,0.749,9,38,45,26,68,81,130,33,38,86.2,13.6,18,4.2,26.7,37.3,24.3,4.33,28.5,R,0.0353535353535354,0.988,TRUE,FALSE,FALSE
Lourdes Gurriel,592,83,35,2,24,103,33,0.261,0.463,0.309,0.772,0,5,38,32,73,78,157,45,24,89.7,10.6,38,8.4,46,34.2,26.7,4.5,27.1,R,0,1.000,FALSE,FALSE,TRUE
Johan Rojas,164,32,9,2,2,42,5,0.302,0.430,0.342,0.772,1,14,20,7,17,12,36,9,10,86.6,7.3,1,0.9,28.3,46,23.9,4.26,29.5,R,0.0148148148148148,0.986,FALSE,TRUE,FALSE
Adam Duvall,353,32,24,2,21,110,22,0.247,0.531,0.303,0.834,0,4,17,33,28,53,28,20,35,88.8,28.9,28,13,39.1,25.6,22.3,4.52,27.6,R,0,1.000,FALSE,TRUE,FALSE
Matt Thaiss,307,41,6,0,9,83,36,0.214,0.340,0.319,0.659,0,2,16,11,29,39,62,14,9,88.5,9.2,19,10.4,40.7,35.2,24.2,4.85,24.7,L,0.0130293159609121,0.987,TRUE,FALSE,FALSE
Nick Maton,293,26,9,0,8,73,38,0.173,0.305,0.288,0.593,2,1,7,16,20,57,58,11,10,86.1,18.2,15,8.4,31.5,36.9,17.3,4.48,27.2,L,0.181818181818182,0.947,TRUE,FALSE,FALSE
Aledmys Diaz,344,47,20,1,4,66,17,0.229,0.337,0.280,0.617,0,1,29,5,38,41,91,25,24,87.8,11.3,7,2.8,33.5,37,25.2,4.48,26.0,R,,0,TRUE,FALSE,FALSE
David Villar,140,7,6,0,5,45,11,0.145,0.315,0.236,0.551,1,1,2,7,9,21,25,8,7,87.7,19,11,13.8,32.5,42.5,22.5,4.69,25.9,R,0.0273972602739726,0.985,TRUE,FALSE,FALSE
Sean Murphy,438,51,21,0,21,98,49,0.251,0.478,0.365,0.843,0,0,27,24,42,52,86,29,13,91.5,13.1,44,16.1,45.8,35.2,26,4.66,26.0,R,0.0108813928182807,0.990,TRUE,FALSE,FALSE
Andrew Vaughn,615,93,30,2,21,129,36,0.258,0.429,0.314,0.743,0,0,49,23,73,81,146,34,32,90.6,11.2,37,8.4,46.5,35.1,24.4,4.79,25.5,R,0.00526315789473684,0.995,TRUE,FALSE,FALSE
Orlando Arcia,533,87,25,0,17,102,39,0.264,0.420,0.321,0.741,0,1,52,24,53,57,156,22,24,88.2,5.4,27,6.9,41.1,35.5,19.5,4.67,25.9,R,0.0652173913043478,0.977,TRUE,FALSE,FALSE
Dominic Canzone,182,19,13,0,6,32,8,0.220,0.399,0.258,0.657,0,1,10,11,17,33,50,12,8,89.7,16.3,17,12.1,42.6,31.2,20.6,4.42,26.7,L,0.0149253731343284,0.986,FALSE,TRUE,FALSE
Vaughn Grissom,80,17,3,1,0,15,2,0.280,0.347,0.313,0.660,1,0,12,1,8,9,24,5,2,86.2,5.1,4,6.6,36.1,34.4,21.3,4.54,27.2,R,0.272727272727273,0.912,TRUE,FALSE,FALSE
Jose Trevino,168,25,4,0,4,22,8,0.210,0.312,0.257,0.569,0,0,10,5,18,17,60,16,9,85.8,9.6,4,2.9,31.6,39.7,25,4.86,24.4,R,0.0072992700729927,0.993,TRUE,FALSE,FALSE
Jake Cave,203,25,8,1,5,55,15,0.212,0.348,0.272,0.620,0,3,12,8,19,38,39,11,4,89.3,15.3,10,7.6,34.8,34.1,23.5,4.39,27.6,L,0.00578034682080925,0.994,FALSE,FALSE,TRUE
Aaron Judge,458,45,16,0,37,130,88,0.267,0.613,0.406,1.019,1,3,19,44,35,54,54,17,15,97.6,20.4,66,27.5,64.2,35,22.5,4.79,26.7,R,0.00769230769230769,0.992,FALSE,TRUE,FALSE
Owen Miller,314,54,17,0,5,61,17,0.261,0.371,0.303,0.674,2,13,24,12,40,60,73,14,11,86.3,12.9,8,3.4,30.8,41,23.1,4.35,29.0,R,0.0247933884297521,0.984,FALSE,FALSE,TRUE
James McCann,226,26,14,0,6,57,9,0.222,0.377,0.269,0.646,1,3,14,11,21,36,48,17,8,89.8,16.6,11,7.1,43.9,45.8,24.5,4.76,26.1,R,0.00635593220338983,0.994,TRUE,FALSE,FALSE
Gio Urshela,228,53,8,1,2,36,10,0.299,0.374,0.329,0.703,2,3,31,7,26,37,57,17,3,87.5,8.6,7,3.9,33.7,41.4,25.4,4.44,26.2,R,0.0482758620689655,0.972,TRUE,FALSE,FALSE
Luis Garcia,482,88,18,4,9,60,27,0.266,0.385,0.304,0.689,4,9,42,17,60,55,169,37,13,88.3,4.6,23,5.8,36.5,40.8,25.1,4.27,27.2,L,0,1.000,TRUE,FALSE,FALSE
Rafael Ortega,136,21,3,0,1,33,20,0.219,0.272,0.341,0.613,1,6,9,4,12,17,32,5,3,86.8,10.6,0,0,26.8,30.5,20.7,4.49,27.2,L,0,1.000,FALSE,TRUE,FALSE
Oscar Gonzalez,180,26,7,2,2,46,5,0.214,0.312,0.239,0.551,0,0,18,7,12,20,47,18,6,88.5,6.4,10,7.8,40.6,39.1,23.4,4.44,28.0,R,0.0382165605095541,0.964,FALSE,TRUE,FALSE
Andrew Knizner,241,33,11,0,10,62,12,0.241,0.424,0.287,0.711,0,2,23,15,16,37,46,11,16,89.6,14.3,13,7.9,40.9,36,16.5,4.77,25.9,R,0.00211864406779661,0.998,TRUE,FALSE,FALSE
Dominic Fletcher,102,20,5,1,2,22,7,0.301,0.441,0.350,0.791,2,0,14,4,10,14,24,5,2,89.7,8.5,3,4.1,39.7,45.2,20.5,4.47,26.4,L,0.015625,0.986,FALSE,TRUE,FALSE
James Outman,567,78,16,3,23,181,68,0.248,0.437,0.353,0.790,3,16,36,34,50,59,84,21,22,87.9,15.7,34,11.1,39.9,32.4,23.2,4.24,28.9,L,0.00628930817610063,0.994,FALSE,TRUE,FALSE
Jordan Walker,465,79,19,2,16,104,37,0.276,0.445,0.342,0.787,4,7,48,18,50,54,101,29,17,89.4,10.2,24,7.5,42.5,36.8,25.2,4.47,28.5,R,0.0265957446808511,0.975,FALSE,TRUE,FALSE
Jonathan Davis,104,15,4,1,2,29,7,0.244,0.378,0.307,0.685,2,1,6,5,11,9,27,4,2,84.4,7.1,3,4.6,23.1,35.4,24.6,4.26,28.9,R,0,1.000,FALSE,TRUE,FALSE
Rowdy Tellez,351,44,9,1,13,86,35,0.215,0.376,0.291,0.667,0,0,12,14,41,56,75,12,18,89.9,15.2,20,8.7,40.4,40.9,23.9,4.87,23.5,L,0.00427350427350427,0.996,TRUE,FALSE,FALSE
Jared Walsh,116,5,4,0,4,45,11,0.125,0.279,0.216,0.495,0,0,2,4,7,13,19,7,6,86.1,18.4,4,6.8,32.2,22,25.4,0,26.2,L,0.00549450549450549,0.995,FALSE,FALSE,TRUE
Brett Wisely,131,14,5,0,2,40,9,0.175,0.267,0.231,0.498,1,2,5,4,12,16,29,7,9,85.9,17.9,6,7.3,32.9,32.9,23.2,4.31,27.9,L,0.0563380281690141,0.974,FALSE,FALSE,TRUE
Christian Yelich,632,99,34,1,19,140,78,0.278,0.447,0.370,0.817,3,28,63,24,64,47,173,28,10,91.7,3.5,38,9.2,50.1,34.1,22.4,4.35,28.1,L,0.00900900900900901,0.991,FALSE,TRUE,FALSE
Nelson Velazquez,179,15,6,0,17,51,14,0.235,0.586,0.302,0.888,0,0,6,20,12,26,37,6,5,91,14.4,24,21.4,49.1,27.7,16.1,4.54,27.2,R,0,1.000,TRUE,FALSE,FALSE
Anthony Volpe,601,65,23,4,21,167,52,0.209,0.383,0.283,0.666,5,24,27,31,55,73,128,39,24,88.7,14.2,34,9,43,30.5,24.9,4.4,28.4,R,0.0913978494623656,0.970,TRUE,FALSE,FALSE
Matt Chapman,581,64,39,2,17,165,62,0.240,0.424,0.330,0.754,2,4,44,24,54,82,77,24,39,93.4,18.5,59,17.1,56.4,37.9,23.1,4.43,28.5,R,0.105263157894737,0.968,TRUE,FALSE,FALSE
Cedric Mullins,455,53,23,3,15,101,43,0.233,0.416,0.305,0.721,3,19,29,21,44,76,85,14,40,88.9,21.6,20,6.5,37.1,36.8,19,4.26,28.0,L,0.0117647058823529,0.989,FALSE,TRUE,FALSE
J.T. Realmuto,540,70,28,5,20,138,35,0.252,0.452,0.310,0.762,5,16,34,28,60,75,100,26,32,89.8,16.7,40,11.2,43.3,32.6,24.2,4.36,28.6,R,0.00168067226890756,0.998,TRUE,FALSE,FALSE
Austin Wynns,145,20,6,0,1,39,9,0.208,0.277,0.268,0.545,0,1,9,2,16,17,36,6,9,86.7,14.4,2,2.1,27.4,34.7,23.2,4.89,24.7,R,0.00634920634920635,0.994,TRUE,FALSE,FALSE
Adley Rutschman,687,111,31,1,20,101,92,0.277,0.435,0.374,0.809,2,1,50,28,84,100,161,42,22,88.4,12.6,37,7.5,38.6,31.3,26.4,4.41,27.0,S,0.00643776824034335,0.994,TRUE,FALSE,FALSE
Manny Machado,601,89,21,0,30,109,50,0.258,0.462,0.319,0.781,2,3,49,31,59,96,128,36,38,91,15,46,10.5,45.9,39.3,22,4.67,26.3,R,0.0843373493975904,0.975,TRUE,FALSE,FALSE
Reese McGuire,206,36,12,1,1,53,11,0.267,0.358,0.310,0.668,1,2,17,8,25,11,60,11,4,84,2.8,4,2.9,27,37.2,26.3,4.52,25.9,L,0.00221729490022173,0.998,TRUE,FALSE,FALSE
Mike Ford,251,28,6,0,16,81,24,0.228,0.475,0.323,0.798,0,0,10,19,20,30,34,6,18,88.8,21,24,17.3,44.6,36.7,19.4,4.88,24.5,L,0,1.000,TRUE,FALSE,FALSE
Corey Seager,536,81,42,0,33,88,49,0.327,0.623,0.390,1.013,1,2,46,41,69,75,113,35,13,93.3,13,60,15.2,53.2,37,27.1,4.67,26.2,L,0.0575539568345324,0.981,TRUE,FALSE,FALSE
Jose Azocar,102,13,6,0,2,24,4,0.231,0.363,0.278,0.641,2,8,5,5,11,9,30,6,6,87,12.5,5,6.9,26.4,30.6,23.6,4.33,29.6,R,,0,TRUE,FALSE,FALSE
Nolan Arenado,612,95,26,2,26,101,41,0.266,0.459,0.315,0.774,3,3,41,33,75,87,140,33,54,88.8,16.9,34,7.3,38.1,32.1,24,4.77,24.9,R,0.145161290322581,0.973,TRUE,FALSE,FALSE
Tim Anderson,524,100,18,2,1,122,26,0.245,0.296,0.286,0.582,2,13,58,9,54,31,171,44,4,87.8,2,11,2.9,39.4,42.9,26.8,4.52,27.2,R,0.09375,0.964,TRUE,FALSE,FALSE
Curt Casali,96,12,2,0,0,23,11,0.175,0.200,0.290,0.490,0,0,4,3,7,12,22,4,8,85.1,21,1,1.7,26.7,31.7,18.3,0,23.8,R,0.00836820083682008,0.992,TRUE,FALSE,FALSE
Jonathan Schoop,151,21,8,0,0,37,13,0.213,0.272,0.278,0.550,0,0,12,1,16,17,34,11,9,89.4,11.2,4,4,38.6,38.6,27.7,4.68,26.9,R,0.128205128205128,0.963,TRUE,FALSE,FALSE
Alex Verdugo,602,89,37,5,13,93,45,0.264,0.421,0.324,0.745,3,5,39,28,76,78,166,45,22,89.2,8.8,23,5,37.6,39.5,27.1,4.34,27.3,L,0.0102389078498294,0.990,FALSE,TRUE,FALSE
Daniel Vogelbach,319,43,8,0,13,81,42,0.233,0.404,0.339,0.743,0,0,18,18,28,34,66,17,13,91.7,14.5,18,9.3,50,36.1,23.2,4.93,23.6,L,,1.000,TRUE,FALSE,FALSE
Josh Harrison,114,16,3,0,2,20,3,0.204,0.291,0.263,0.554,0,0,6,5,10,9,36,11,7,86.6,10.7,2,2.4,25.9,38.8,25.9,4.66,26.5,R,0.0303030303030303,0.988,FALSE,FALSE,TRUE
MJ Melendez,602,75,29,5,16,170,62,0.235,0.398,0.316,0.714,4,6,43,22,60,105,87,31,17,93.2,16.9,42,11.4,49.6,37.1,25.3,4.25,27.6,L,0.0277777777777778,0.974,FALSE,FALSE,TRUE
Gavin Sheets,344,43,10,0,10,66,28,0.203,0.331,0.267,0.598,0,1,19,11,33,54,75,25,31,88.1,16.9,13,5.2,32.5,31.7,23.7,4.57,26.5,L,0.0151515151515152,0.986,FALSE,FALSE,TRUE
JJ Bleday,303,29,11,0,10,72,42,0.195,0.355,0.310,0.665,1,5,18,9,23,47,64,10,16,88.6,15.5,12,6.4,35.3,31.6,17.6,4.5,27.2,L,0.01875,0.982,FALSE,TRUE,FALSE
Brandon Nimmo,682,102,30,6,24,146,74,0.274,0.466,0.363,0.829,3,3,58,31,73,88,128,39,31,91.8,12.2,43,9.5,47.9,37,25.5,4.27,28.0,L,0.0113636363636364,0.989,FALSE,TRUE,FALSE
Rob Refsnyder,243,39,9,1,1,47,33,0.248,0.317,0.365,0.682,2,7,20,4,26,27,49,21,10,87.7,11.9,6,3.8,34.4,40.8,29.9,4.47,27.1,R,0,1.000,FALSE,TRUE,FALSE
Nick Martini,79,9,3,1,6,15,5,0.264,0.583,0.329,0.912,0,0,4,7,8,15,11,6,6,91,23.6,6,10.5,45.6,35.1,24.6,0,27.2,L,0,1.000,FALSE,FALSE,TRUE
Cavan Biggio,338,47,12,0,9,88,40,0.235,0.370,0.340,0.710,2,5,22,15,31,47,57,15,16,88.4,15.7,15,7.4,33,36,22.7,4.4,28.3,L,0.0103626943005181,0.993,FALSE,FALSE,TRUE
Jose Caballero,280,37,9,1,4,66,28,0.221,0.320,0.343,0.663,3,26,18,7,26,36,35,15,30,83.3,21.5,6,3.6,23.7,30.8,25.4,4.22,29.0,R,0,1.000,TRUE,FALSE,FALSE
Brandon Belt,404,44,23,0,19,141,61,0.254,0.490,0.369,0.859,0,0,20,32,33,46,42,15,10,88.7,19.8,30,15,40,32,24,4.6,26.2,L,0.0050761421319797,0.995,TRUE,FALSE,FALSE
Luis Rengifo,445,69,15,4,16,82,41,0.264,0.444,0.339,0.783,4,6,41,22,40,67,107,20,17,89.1,11,24,7.6,36.9,36.7,19,4.34,27.4,S,0.069364161849711,0.968,FALSE,FALSE,TRUE
Kevin Pillar,206,26,10,0,9,50,6,0.228,0.416,0.248,0.664,1,4,9,14,22,29,44,20,12,87.9,17.8,12,8,38.7,30.7,28,4.42,28.2,R,0.00980392156862745,0.990,FALSE,TRUE,FALSE
Steven Kwan,718,123,36,7,5,75,70,0.268,0.370,0.340,0.710,3,21,69,14,88,100,197,74,26,86,10.7,6,1.1,18.8,39.5,28.8,4.22,28.1,L,0.0116279069767442,0.989,FALSE,TRUE,FALSE
Garrett Stubbs,125,17,4,1,1,29,9,0.204,0.283,0.274,0.557,0,2,11,3,8,15,25,5,16,83.4,22.4,0,0,17.6,35.3,15.3,4.36,28.1,L,0.0170068027210884,0.984,FALSE,FALSE,TRUE
Tyler Stephenson,517,78,20,2,13,135,47,0.243,0.378,0.317,0.695,1,0,36,21,56,56,126,24,11,89.4,8.9,25,7.6,43.5,35.6,24.5,4.62,26.9,R,0.00594353640416048,0.994,TRUE,FALSE,FALSE
William Contreras,611,100,38,1,17,126,63,0.289,0.457,0.367,0.824,1,6,68,25,63,60,163,20,18,91.3,4.7,39,9.4,48.7,39.6,19.9,4.49,26.5,R,0.0113519091847265,0.989,TRUE,FALSE,FALSE
Ryan O'Hearn,368,63,22,1,14,82,15,0.289,0.480,0.322,0.802,1,5,34,22,44,52,84,19,12,91.9,12,27,10.1,51.5,34,23.9,4.46,27.7,L,0.006,0.994,FALSE,FALSE,TRUE
Jorge Mateo,350,46,14,2,7,82,22,0.217,0.340,0.267,0.607,5,32,28,9,32,52,84,23,16,88.4,10.4,13,5.3,38.5,36.9,22.5,4.2,30.1,R,0.0932203389830508,0.970,FALSE,FALSE,TRUE
Michael Harris,539,94,33,3,18,101,25,0.293,0.477,0.331,0.808,4,20,62,21,64,50,134,50,25,90.9,7.6,41,10,48.5,38.7,28.2,4.24,28.8,L,0.0065359477124183,0.994,FALSE,TRUE,FALSE
Brandon Marsh,472,69,25,6,12,144,59,0.277,0.458,0.372,0.830,2,10,43,25,44,46,78,20,6,91.3,12.4,24,9.1,48.7,31.7,24.9,4.31,28.6,L,0.0182481751824818,0.982,FALSE,TRUE,FALSE
Michael Conforto,470,68,14,0,15,106,53,0.239,0.384,0.334,0.718,0,4,28,24,45,59,108,22,17,88.9,11.9,24,7.9,39.8,43.4,22.4,4.62,26.1,L,0.0129032258064516,0.988,FALSE,TRUE,FALSE
Richie Palacios,102,12,6,0,6,11,6,0.258,0.516,0.307,0.823,0,2,9,9,6,16,36,5,3,88.1,6.3,6,7.1,33.3,35.7,13.1,4.14,28.0,L,0.0465116279069767,0.959,FALSE,FALSE,TRUE
Francisco Mejia,160,18,11,0,5,38,6,0.227,0.400,0.258,0.658,1,0,12,6,16,25,31,11,13,87.5,18.9,5,4.3,32.2,34.8,24.3,4.45,26.3,S,0.0607734806629834,0.981,TRUE,FALSE,FALSE
Brett Sullivan,86,13,3,0,1,19,4,0.210,0.284,0.244,0.528,0,0,7,2,8,20,19,5,2,86.9,16.3,1,1.6,28.6,34.9,20.6,4.42,27.4,L,0.0191387559808612,0.982,TRUE,FALSE,FALSE
Ramon Urias,396,66,22,3,4,101,27,0.264,0.375,0.328,0.703,1,3,35,14,46,39,102,12,12,89.2,7.9,18,6.9,38.1,37.7,22.3,4.62,26.7,R,0.0318181818181818,0.970,FALSE,TRUE,FALSE
Brenton Doyle,431,50,16,5,10,151,22,0.203,0.343,0.250,0.593,5,22,32,17,32,48,94,20,11,88.3,11.7,22,8.7,35,33.1,20.5,4.23,29.9,R,0.00268096514745308,0.997,FALSE,TRUE,FALSE
Luke Raley,406,44,23,3,19,128,28,0.249,0.490,0.333,0.823,3,14,35,24,30,40,66,10,27,91.1,17.3,30,12.9,45.7,34.5,17.2,4.31,28.8,L,0.00334448160535117,0.997,FALSE,FALSE,TRUE
Jarred Kelenic,416,56,25,2,11,132,41,0.253,0.419,0.327,0.746,5,13,26,20,48,39,80,24,5,90.9,10.1,23,9.5,45.5,36.8,29.8,4.35,28.0,L,0.0163934426229508,0.984,FALSE,TRUE,FALSE
Salvador Perez,580,93,21,0,23,135,19,0.255,0.422,0.292,0.714,0,0,34,38,63,86,114,42,29,90.1,15.6,36,8.8,44,36.3,26.3,4.93,24.3,R,0,1.000,FALSE,TRUE,FALSE
Ezequiel Duran,439,74,22,2,14,120,23,0.276,0.443,0.324,0.767,4,8,39,18,55,49,76,29,22,90.1,14,25,8.7,43.9,38.1,29.4,4.27,29.1,R,0.0909090909090909,0.961,FALSE,FALSE,TRUE
Jorge Polanco,343,45,18,0,14,88,36,0.255,0.454,0.335,0.789,0,4,18,24,35,61,45,19,14,88.4,21.6,30,13.8,40.6,36.4,25.3,4.34,27.6,S,0.0821917808219178,0.975,TRUE,FALSE,FALSE
Jake Rogers,365,41,11,0,21,118,28,0.221,0.444,0.286,0.730,1,1,13,30,30,40,66,20,15,90.4,14.7,26,12,45.6,35.6,24.1,4.67,27.2,R,0.00882723833543506,0.992,FALSE,FALSE,TRUE
Xavier Edwards,84,20,3,0,0,14,3,0.295,0.333,0.329,0.662,0,5,11,1,11,12,23,4,4,82.2,10.7,1,1.5,13.6,28.8,22.7,4.18,28.2,S,0,1.000,FALSE,FALSE,TRUE
Thairo Estrada,530,92,26,2,14,120,22,0.271,0.416,0.315,0.731,7,23,50,22,62,62,121,33,26,85.9,10.8,18,4.8,33.7,32.9,25.5,4.33,28.1,R,0.0446927374301676,0.985,FALSE,FALSE,TRUE
Eugenio Suarez,694,88,29,0,22,214,70,0.232,0.391,0.323,0.714,1,2,33,39,67,97,102,30,25,90.3,18.9,52,13.2,43,32.7,25.1,4.71,26.4,R,,0,TRUE,FALSE,FALSE
Will Benson,329,45,15,8,11,103,40,0.275,0.498,0.365,0.863,3,19,21,20,38,32,50,12,11,90.2,14.6,19,10.3,42.2,43.2,27,4.38,28.8,L,0,1.000,FALSE,TRUE,FALSE
Willi Castro,409,60,18,5,9,99,34,0.257,0.411,0.339,0.750,5,33,34,18,39,51,76,23,22,86.5,15.1,18,6.8,31.8,34.8,23.5,4.28,28.6,S,0.0135135135135135,0.991,FALSE,FALSE,TRUE
Xander Bogaerts,665,118,31,2,19,110,56,0.285,0.440,0.350,0.790,2,19,74,28,68,83,171,32,31,87.6,7.9,30,6.1,34.6,34.6,21.1,4.38,27.6,R,0.0479041916167665,0.985,TRUE,FALSE,FALSE
Matt Mervis,99,10,2,0,3,32,8,0.167,0.289,0.242,0.531,0,0,5,2,8,10,22,6,5,91,8.4,8,13.8,50,39.7,24.1,0,24.8,L,0.00952380952380952,0.991,TRUE,FALSE,FALSE
Josh Jung,515,78,25,1,23,151,30,0.266,0.467,0.315,0.782,3,1,38,29,60,68,85,36,12,91.8,15,39,11.9,47.4,39.2,29.5,4.59,26.8,R,0.0519480519480519,0.988,TRUE,FALSE,FALSE
Joey Wendle,318,42,16,3,2,67,13,0.212,0.306,0.248,0.554,1,7,28,7,28,40,104,22,6,89.2,3.8,8,3.4,39.4,39.4,21.6,4.28,27.8,L,0.0934579439252336,0.970,TRUE,FALSE,FALSE
Jeremy Pena,634,107,32,3,10,129,43,0.263,0.381,0.324,0.705,9,13,66,17,68,68,179,32,16,88,5.5,18,4,35.8,35.6,22.9,4.28,29.4,R,0,1.000,TRUE,FALSE,FALSE
Austin Slater,207,36,9,0,5,58,20,0.270,0.400,0.348,0.748,2,2,20,11,19,22,43,9,3,91.1,7.5,15,11.8,46.5,33.1,22,4.51,27.7,R,0.0208333333333333,0.980,FALSE,TRUE,FALSE
J.D. Davis,546,77,23,1,18,152,52,0.248,0.412,0.325,0.737,0,1,46,22,50,46,132,26,10,91.1,7.8,32,9.6,45.2,33.5,23.1,4.8,25.8,R,0.0642857142857143,0.975,TRUE,FALSE,FALSE
Bryan Reynolds,640,91,31,5,24,138,53,0.263,0.460,0.330,0.790,1,12,43,44,64,83,152,41,14,90.9,10.9,49,11.1,47.3,34.8,24,4.44,27.8,S,0.00909090909090909,0.991,FALSE,TRUE,FALSE
Brayan Rocchio,86,14,6,0,0,27,4,0.247,0.321,0.279,0.600,0,0,8,1,11,7,25,2,1,85.8,1.5,0,0,18.2,45.5,23.6,4.38,27.4,S,0.153846153846154,0.945,TRUE,FALSE,FALSE
Alex Bregman,724,106,28,4,25,87,92,0.262,0.441,0.363,0.804,1,3,45,32,84,135,145,49,44,88.6,17.6,29,5.4,38.2,37.1,25,4.57,26.3,R,0.137614678899083,0.963,TRUE,FALSE,FALSE
Andruw Monasterio,315,55,14,1,3,66,28,0.259,0.348,0.330,0.678,2,7,20,12,41,48,53,23,20,88.8,17.7,12,5.5,33.5,38.5,29.8,4.4,28.0,R,0.0833333333333333,0.974,TRUE,FALSE,FALSE
Andres Gimenez,616,93,27,5,15,112,32,0.251,0.399,0.314,0.713,6,30,50,25,64,75,161,33,38,84.8,13.1,25,5.5,27,36.1,21.9,4.18,29.2,L,0,1.000,TRUE,FALSE,FALSE
