Date,homeTeam,homeStarter,homeSide,awayTeam,awayStarter,awaySide,Weekend,completed
9/3,MIL,"Civale, Aaron",RHP,STL,"Matz, Steven",LHP,FALSE,Yes
9/3,TEX,"Heaney, Andrew",LHP,NYY,"Rodon, Carlos",LHP,FALSE,Yes
9/3,LAA,"Detmers, Reid",LHP,LAD,"Buehler, Walker",RHP,FALSE,Yes
9/3,OAK,"Ginn, J.T.",RHP,SEA,"Castillo, Luis",RHP,FALSE,Yes
9/3,SF,"Harrison, Kyle",LHP,ARI,"Nelson, Ryne",RHP,FALSE,Yes
9/4,TOR,"Francis, Bowden",RHP,PHI,"Sanchez, Cristopher",LHP,FALSE,No
9/4,BAL,"Suarez, Albert",RHP,CWS,"Cannon, Jonathan",RHP,FALSE,No
9/4,CIN,"Martinez, Nick",RHP,HOU,"Arrighetti, Spencer",RHP,FALSE,No
9/4,MIA,"Bellozo, Valente",RHP,WAS,"Gore, MacKenzie",LHP,FALSE,No
9/4,TB,"Sulser, Cole",RHP,MIN,"Henriquez, Ronny",RHP,FALSE,No
9/4,NYM,"Megill, Tylor",RHP,BOS,"Houck, Tanner",RHP,FALSE,No
9/4,ATL,"Morton, Charlie",RHP,COL,"Blalock, Bradley",RHP,FALSE,No
9/4,MIL,"Rea, Colin",RHP,STL,"Gray, Sonny",RHP,FALSE,No
9/4,KC,"Lugo, Seth",RHP,CLE,"Lively, Ben",RHP,FALSE,No
9/4,CHC,"Imanaga, Shota",LHP,PIT,"German, Domingo",RHP,FALSE,No
9/4,TEX,"Eovaldi, Nathan",RHP,NYY,"Stroman, Marcus",RHP,FALSE,No
9/4,LAA,"Canning, Griffin",RHP,LAD,"Miller, Bobby",RHP,FALSE,No
9/4,SD,"Darvish, Yu",RHP,DET,"Montero, Keider",RHP,FALSE,No
9/4,OAK,"Sears, JP",LHP,SEA,"Kirby, George",RHP,FALSE,No
9/4,SF,"Birdsong, Hayden",RHP,ARI,"Gallen, Zac",RHP,FALSE,No
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
9/4,,,,,,,FALSE,Yes
