Name,PA,1B,2B,3B,HR,BB,SO,SB,CS,Dir
Chase Meidroth,493,79,19,1,9,80,98,13,1,R
Adam Hackenberg,393,68,16,0,8,42,89,3,0,
Freuddy Batista,328,43,24,6,6,27,84,0,1,
Blake Rambusch,300,49,13,1,3,44,70,25,6,
Sahid Valenzuela,308,63,11,1,1,17,52,3,2,
Ryan Vilade,511,86,23,4,6,64,127,7,4,
Kyle McCann,388,58,17,1,17,38,125,3,0,
Kean Wong,174,30,5,0,5,24,33,5,2,
Cristian More,129,24,4,2,0,16,25,17,4,
Braxton Fulford,312,41,18,1,10,34,74,6,3,R
Jose Robledo,176,32,6,2,0,22,32,7,4,
Chris Lanzilli,388,63,19,0,8,42,86,3,3,
Jose Pirela,185,22,11,1,6,25,40,8,3,
Hogan Windish,452,61,17,4,22,55,139,10,1,
Caleb Ricketts,299,54,12,4,4,20,49,6,4,
Jack Larsen,129,24,3,0,0,26,32,1,1,
Drake Baldwin,476,65,26,1,16,67,98,0,0,L
Leo Jimenez,410,67,18,2,8,41,68,8,2,R
Jesus Machado,157,27,5,1,1,19,35,10,7,
Yorfran Medina,106,3,8,1,5,24,22,1,0,
Won-Bin Cho,452,76,14,5,7,64,98,32,11,L
Wilian Trinidad,230,41,9,0,1,38,46,16,9,
Jack Payton,70,14,2,0,1,4,15,2,0,
Bryson Brigman,320,60,9,3,3,33,49,6,4,
David Banuelos,178,23,7,1,10,21,68,1,0,
Joe Suozzi,381,68,12,2,7,38,99,8,2,
Euribiel Angeles,438,84,18,4,7,12,58,21,3,
Jediael Maduro,107,19,4,0,1,15,28,0,0,
Brady Whalen,196,30,11,1,6,12,28,4,0,
Luke Brown,239,32,13,2,8,25,63,13,5,
Roosbert Tapia,166,29,6,3,0,22,31,11,0,
Rece Hinds,461,53,29,6,23,34,151,20,6,
Juniel Querecuto,440,75,15,2,13,40,101,12,1,
Raimel Tapia,124,21,3,0,4,18,28,7,2,
Carlos Hurtado,28,5,1,0,1,0,5,1,0,
Cortland Lawson,303,54,11,5,0,31,93,10,2,
Cesar Bonalde,116,25,2,0,1,10,25,2,0,
Trent Farquhar,65,10,4,0,0,10,8,5,0,
Stone Russell,30,3,3,1,0,4,5,2,1,
Daylen Lile,465,63,27,10,9,52,99,23,6,L
Nate Mondou,472,68,23,1,14,71,90,8,5,
Dakota Kotowski,203,20,9,1,16,24,60,7,1,
Moises Lopez,174,24,7,3,5,22,52,10,1,
Ruben Cardenas,550,77,26,3,22,62,145,8,12,
Juan Gonzalez,147,23,7,0,2,18,36,5,0,
Jansel Luis,263,41,12,4,7,17,51,16,4,S
Sebastian De Andrade,138,25,5,0,2,13,28,0,1,
Victor Labrada,238,49,7,1,0,20,49,17,4,
Brooks Baldwin,396,60,15,3,15,42,86,22,5,
Jorbit Vivas,612,95,25,3,13,69,71,25,5,L
Bobby Dalbec,493,61,14,3,33,64,169,18,2,
Cristofher Paniagua,194,34,7,1,1,26,37,10,6,
Jose Azocar,212,40,9,0,5,9,45,18,5,
Erick Barria,82,12,4,2,0,13,14,1,0,
Mario Gomez,168,20,11,0,5,28,38,4,1,
Eddys Leonard,559,84,30,1,19,46,122,5,4,
Elih Marrero,131,20,8,0,1,22,33,8,7,
Rafael Ramirez,126,21,3,2,3,14,27,5,2,
James Free,489,70,24,2,17,61,98,1,1,
Matt Rudick,285,40,13,0,9,48,44,12,1,
Endy Rodriguez,315,48,16,3,6,36,47,4,0,
Jahmai Jones,445,52,28,3,12,83,97,12,5,
Jose Reina,97,14,4,3,1,13,24,1,3,
Jerffson Pena,188,31,8,3,2,15,48,24,3,
Connor Charping,53,10,0,0,1,6,11,10,1,
Maxwell Romero,257,37,11,0,7,46,69,1,1,
Bryce Willits,479,82,15,1,12,62,97,3,5,
Juan Ortega,49,7,2,2,0,5,13,1,1,
Zach Levenson,139,20,6,1,6,12,32,2,1,
Ben Williamson,44,7,2,2,0,2,12,1,0,
Jordan Thompson,91,19,3,0,0,5,26,4,2,
Jake Cunningham,53,9,1,0,1,12,12,4,1,
Oswald Peraza,300,45,9,2,14,29,55,16,4,
Jose Sanabria,220,42,5,1,0,39,58,14,6,
Taylor Trammell,391,44,20,0,21,63,104,17,4,
Lewin Diaz,483,73,21,0,17,60,95,2,0,
Luis Garcia,108,17,8,0,1,8,13,2,0,
Walking Cabrera,327,52,13,2,11,26,89,8,1,
Yorberto Mejicano,223,36,9,2,5,23,42,6,3,
Jamari Baylor,244,31,12,1,8,41,76,12,2,
Nick Yorke,506,76,25,5,13,51,122,18,5,R
Joe Dunand,403,55,19,2,17,45,107,3,2,
Wady Mendez,178,26,12,1,2,22,66,6,6,
Sergio Alcantara,403,63,17,2,8,59,94,0,0,
Ryan Fitzgerald,383,46,25,7,12,41,100,11,7,
Rainer Reyes,66,7,6,1,1,7,21,2,1,
Brandon Dixon,273,40,7,2,15,28,85,7,0,
Tanner O'Tremba,395,54,22,3,8,42,89,18,2,
Lazaro Benitez,216,38,14,0,1,12,39,0,0,
Alika Williams,323,44,19,1,12,30,56,6,2,R
Trendon Craig,254,41,12,1,3,32,58,24,7,
Victor Rodrigues,176,28,7,1,2,31,24,10,5,
Geisel Cepeda,397,79,10,1,5,34,43,8,7,R
Daz Cameron,446,64,23,0,16,43,95,23,6,
Jeffry Parra,184,27,10,0,5,20,40,0,0,
Jordyn Adams,480,65,25,6,15,53,133,44,5,R
Andrws Cruz,125,21,6,0,0,17,13,24,8,
Roderick Arias,130,17,2,2,6,27,29,17,6,S
Daniel Schneemann,484,68,30,1,13,59,100,17,3,
Alex McGarry,468,74,22,5,11,42,127,14,6,
Jose Godoy,132,24,3,0,4,15,22,2,1,
Juan Santander,132,21,5,0,5,14,26,2,0,
Ben Gobbel,270,42,12,3,5,31,67,14,3,
Tony Ruiz,150,19,11,1,4,16,54,1,2,
Gabriel Lara,182,27,7,1,4,28,30,18,8,
Alexis Hernandez,192,31,9,0,3,28,38,13,1,R
Angel Del Rosario,236,39,9,2,5,19,70,25,10,
Jake Marisnick,145,19,9,2,2,19,33,9,1,
Jorge Bonifacio,508,70,20,4,22,61,101,6,0,
Lizardo Ruiz,33,6,2,0,0,2,10,0,1,
Jimmy Glowenke,394,55,23,0,10,45,76,6,0,
Jesus Galiz,330,55,16,1,8,21,74,3,1,R
David Beckles,144,18,8,0,2,32,28,4,2,
Jerson Florentino,76,12,4,0,0,12,5,9,2,
Spencer Jones,537,79,29,4,16,49,155,43,12,L
Jesus Gamez,216,29,13,3,7,10,65,11,7,
Alfredo Alcantara,152,18,9,0,5,24,32,2,1,
Dillon Head,124,19,5,3,1,15,19,4,3,L
Pedro Pages,497,72,23,2,16,59,96,3,0,R
Patrick Winkel,356,54,16,1,10,45,86,3,1,
Greg Cullen,256,39,10,0,4,48,55,4,0,
Justin Foscue,563,70,31,4,18,85,70,14,7,R
Enmanuel Terrero,361,60,8,6,8,47,93,21,9,
Chris Newell,372,42,17,3,21,56,110,15,7,
Ronaldo Flores,320,55,19,1,4,20,68,1,1,
Nick Sogard,460,73,20,4,7,63,79,17,7,
Jean Arnaez,102,22,3,0,0,4,17,1,1,
Scott Bandura,120,15,6,1,3,20,32,3,1,
Nomar Mazara,203,32,8,1,5,27,40,0,1,
Carlos Jimenez,184,30,8,2,2,22,51,11,3,R
Ramon Peralta,199,25,12,0,5,34,56,5,2,
Jose Marchan,95,16,5,0,0,10,24,8,2,
Matt Reynolds,515,55,38,3,22,60,141,8,0,
Cristian Garcia,184,26,5,5,2,37,42,1,0,
Cam Williams,155,15,11,2,10,8,57,6,2,
Angel Zarate,334,57,14,3,2,35,63,16,3,
Aaron McKeithan,256,47,3,0,5,28,33,2,1,
Michael Papierski,305,45,14,1,8,42,65,0,0,
Tyler Dearden,294,48,12,1,7,33,72,0,1,
Pedro Ramirez,414,64,19,3,8,49,71,17,7,
Jesus Correa,131,25,3,1,1,17,33,5,1,
Derik Alcantara,131,20,8,2,0,14,6,7,3,
Cam Fisher,137,17,6,2,5,22,45,5,0,
Keshawn Ogans,454,71,22,1,9,46,87,10,8,
Jesus Chirinos,347,46,17,1,9,64,102,3,1,
Jefferson Rojas,310,51,14,1,7,23,62,13,4,R
Jace Jung,575,72,27,2,28,79,139,5,1,L
Jasson Dominguez,544,81,22,3,15,83,133,40,8,S
Iverson Leonardo,127,14,11,0,1,24,43,2,2,
Armando Sierra,113,17,7,0,2,14,30,0,1,
Alexander Garcia,112,23,3,0,0,12,26,3,0,
Mark Coley,122,13,8,2,3,16,36,9,1,
Donovan Walton,271,43,12,0,6,29,41,3,4,
Eliezer Alfonzo,402,73,14,0,9,29,28,1,0,
Anthony Gutierrez,346,65,11,5,2,26,78,32,11,
Joe Vetrano,154,29,3,1,2,21,38,0,1,
Yanquiel Fernandez,521,74,25,3,25,32,132,1,1,L
Tanner Schobel,554,89,16,6,16,61,104,12,2,R
Zach Morgan,353,53,19,1,6,48,65,7,1,
Fabian Lopez,220,35,12,2,4,16,53,15,5,
Robby Martin,344,54,22,1,7,24,77,16,5,
Raynier Ramirez,149,15,9,1,6,28,36,2,1,
Leonardo Bernal,323,52,15,1,3,49,55,4,1,S
Jacob Reimer,419,68,13,0,8,62,84,3,2,R
Brendan Rodgers,38,6,2,0,1,3,7,0,0,
Mike Antico,545,80,23,5,18,54,126,52,8,
Nathan Hickey,417,51,24,1,19,52,111,3,0,
Braiden Ward,279,46,10,2,1,27,55,44,7,
Alvaro Aguero,165,28,8,1,4,6,39,13,3,
Ryan Cermak,175,25,9,1,6,15,37,8,2,R
Victor Izturis,149,29,2,0,1,24,27,0,0,
Erick Arosemena,147,25,7,0,0,15,34,1,2,
Leny Carela,100,18,4,1,0,9,26,7,5,
Matt Coutney,512,79,16,5,15,58,153,0,1,
Carson McCusker,190,26,6,0,14,15,70,0,0,
Adam Haseley,313,55,10,3,6,28,52,10,4,
Cuba Bess,166,20,6,1,10,19,49,1,1,
Fran Alduey,158,16,19,2,0,15,38,21,5,
Wilfredo Lara,409,58,18,3,14,50,89,17,6,R
Neurelin Montero,77,11,3,0,0,19,13,0,2,
Francisco Urbaez,331,56,12,1,6,39,62,4,3,
Cade Doughty,424,62,19,0,18,35,126,4,2,R
Phil Clarke,260,41,10,0,6,33,37,6,0,
Dalton Shuffield,257,42,7,2,6,39,69,18,3,
Brooks Brannon,77,9,3,1,6,4,20,0,0,
Bryan Ramos,359,55,10,1,15,38,79,4,3,R
Chase Pinder,294,39,16,0,7,51,68,8,3,
Deward Tovar,189,33,6,2,2,24,48,5,3,
Guillermo Rosario,112,19,5,0,0,18,18,2,1,
Kai Murphy,371,60,19,1,7,30,96,12,5,
Rafael Morel,391,71,10,0,7,50,94,16,9,
Michael Turconi,432,56,22,5,10,70,91,5,0,
Nate Furman,441,80,11,2,0,65,54,37,5,L
Jett Williams,534,65,22,8,13,104,118,45,7,R
Guy Lipscomb,321,52,12,4,1,53,56,48,7,
Shayne Fontana,378,58,17,2,7,41,63,20,5,
Adrian Del Castillo,424,59,19,2,14,60,113,2,2,L
BJ Murray,542,65,34,4,16,82,129,14,3,
Edwin Rios,176,23,11,0,6,20,54,0,0,
Rene Pinto,166,19,12,0,9,10,47,1,0,
Dermis Garcia,198,24,8,1,12,22,63,3,0,
Eric Rodriguez,22,4,1,0,0,2,4,0,0,
Felix Stevens,472,54,28,1,27,46,151,8,3,
Vito Friscia,47,7,0,0,3,7,12,0,0,
A.J. Vukovich,507,72,19,5,24,46,144,20,9,R
Felix Reyes,316,55,9,1,10,18,34,6,3,
Kevin Guerrero,147,26,3,2,4,11,44,4,3,
Alsander Womack,508,91,14,1,9,60,80,8,4,
Jairo Diaz,70,11,2,1,1,10,14,1,0,
Charlie Pagliarini,64,6,5,0,4,6,23,3,0,
Logan Driscoll,429,69,18,2,12,29,110,4,2,
Luke Voit,200,17,8,1,15,39,53,0,0,
Yordalin Pena,176,26,9,4,2,15,34,7,1,
Narbe Cruz,260,44,14,0,4,20,50,2,2,
Eduardo Perez,130,21,6,0,4,7,45,3,0,
Isaac Collins,385,53,13,2,10,77,56,29,9,
Angel Genao,316,48,20,1,4,34,49,6,3,R
Tyler Miller,371,56,21,3,9,25,90,19,6,
Brett Squires,511,72,21,2,15,66,146,32,8,
Jalen Vasquez,99,13,5,3,0,18,19,5,3,
Dominic Miroglio,97,12,7,0,2,14,14,0,0,
Ryan Clifford,511,67,20,0,24,64,140,5,2,L
Emaarion Boyd,403,76,8,5,1,35,60,56,18,R
Jorluis Guerra,140,26,2,0,4,7,22,1,0,
Esmil Valencia,211,33,9,4,2,19,31,11,5,R
Jose Guerra,72,12,3,0,1,11,10,0,1,
Caleb Ketchup,76,14,1,1,0,11,25,7,1,
Jose Rodriguez,493,83,19,0,21,20,108,31,9,R
Oswaldo Osorio,201,28,6,3,6,29,54,1,1,L
Troy Schreffler,206,32,3,2,6,34,49,20,8,
James Wood,549,62,28,8,26,65,173,18,3,L
Josh Rivera,114,15,8,1,3,9,28,1,1,R
Travis Blankenhorn,455,51,27,2,23,51,110,0,2,
Caeden Trenkle,340,56,10,2,8,30,88,10,3,
Jose Rodriguez,209,33,10,0,6,18,41,0,2,R
Jesus Bugarin,477,91,14,5,10,11,128,12,7,
Jose Fernandez,394,66,18,4,5,31,92,9,2,R
Jeferson Morales,200,26,10,2,6,27,41,6,1,
Yohander Martinez,161,26,5,0,2,28,35,1,2,
Jeferson Quero,381,60,12,0,16,38,68,5,0,R
Jesus Hernandez,211,31,9,1,3,40,37,10,2,
Byron Chourio,106,19,3,0,0,20,19,4,2,S
Kody Huff,340,56,14,2,5,38,73,2,1,
Adrian Hoyte,51,8,2,0,1,8,11,1,3,
Kalae Harrison,55,10,0,0,1,11,10,2,0,
Hoy Park,389,60,15,2,6,60,86,16,2,
Cooper Hummel,455,54,27,6,8,82,106,26,6,
Braylin Tavera,133,19,5,0,4,22,23,13,5,
Aneudi Escanio,125,11,9,6,2,13,20,2,2,
Diego Hernandez,313,59,7,4,3,20,79,19,5,L
Luke Gold,404,55,21,2,12,39,81,12,1,
Jack Blomgren,78,12,2,0,3,6,31,4,1,
Kellum Clark,87,13,2,1,1,18,21,3,0,
Cooper Bowman,334,45,18,3,8,37,72,38,3,
Cole Fontenelle,174,28,6,2,4,14,40,7,3,
Kevin Graham,275,45,13,3,2,28,66,7,4,
Allan Castro,492,67,31,4,7,68,90,19,6,S
Diego Benitez,196,30,11,3,2,17,44,3,3,R
Greyber Altamirano,106,15,4,2,2,14,19,4,1,
Jake Snider,447,67,15,10,6,55,93,22,2,
Eduardo Lopez,315,48,16,1,5,42,81,12,2,
Jean Mata,159,32,2,1,0,18,24,6,7,
River Town,384,66,9,1,7,48,59,22,4,
Juan Fernandez,412,69,19,0,7,36,56,10,5,
Curt Casali,24,5,1,0,0,0,7,0,0,
Luis Liberato,276,34,15,2,9,40,64,8,7,
Alexfri Planez,25,4,2,0,0,1,8,0,0,
Wesley Zapata,122,20,3,1,0,25,23,5,2,
Victor Ortega,97,15,3,0,0,27,9,3,0,
Jonathan Linares,57,10,0,2,0,5,14,1,0,
Brailer Guerrero,29,3,3,0,0,4,6,0,1,L
Miguel Rodriguez,86,15,2,1,0,13,7,4,2,
Kelvin Alcantara,146,22,6,1,1,29,23,1,2,
Shawn Goosenberg,434,69,16,3,9,49,94,32,6,
Ernesto Martinez,397,62,16,1,12,40,79,16,6,
Denzel Clarke,286,34,11,4,12,37,85,11,1,R
Karell Paz,224,34,10,1,4,24,50,10,3,
Drew Lugbauer,380,44,15,2,25,44,142,2,0,
Jared Oliva,325,49,12,5,8,31,68,16,6,
Edgar Basabe,149,23,9,3,2,7,41,9,2,
Irving Lopez,346,48,17,1,9,43,66,0,0,
Dayan Frias,397,56,19,2,11,51,83,8,3,S
Justin Yurchak,288,44,12,1,6,42,48,1,0,
Kenny Castillo,162,27,9,1,1,11,29,0,0,
Clayton Campbell,185,15,18,1,4,30,46,5,0,
Ke'Shun Collier,110,15,4,0,0,30,27,8,4,
Luis Rodriguez,92,11,5,1,2,10,21,5,0,
Trevor Hauver,471,63,24,3,12,71,135,1,2,
Kendry Feliz,149,19,9,2,2,23,28,12,5,
Gary Mattis,192,27,9,3,6,13,59,3,1,
Yoshi Tsutsugo,279,36,10,2,10,52,79,3,3,
Yohairo Cuevas,181,24,6,3,6,27,45,13,2,
Jesus Prado,59,12,1,0,0,8,18,0,0,
Moises Valdez,119,23,1,2,0,18,31,4,6,
Luis Santana,327,49,16,1,13,18,70,3,1,
Max Acosta,473,79,21,1,11,33,100,26,8,
Brayan Ferrer,154,19,12,2,0,18,23,1,1,
Christopher Paciolla,142,23,6,0,4,8,31,6,3,
Austin Martin,282,42,11,0,7,39,46,19,4,R
Orlando Martinez,489,71,27,4,12,38,94,8,4,
Liover Peguero,348,46,20,2,13,35,61,21,3,
Marcus Brown,125,21,4,1,1,15,17,4,3,
Seth Gray,337,55,9,2,9,41,109,14,6,
Ryan Burrowes,178,28,8,3,2,12,51,12,5,R
Bubba Thompson,302,47,14,2,6,27,69,27,5,
Kevin Padlo,421,51,26,0,13,68,101,9,4,
Carlos De La Cruz,582,82,25,1,24,54,160,3,0,R
Josh Rojas,59,11,1,0,2,5,10,1,0,
Abdiel Layer,27,5,1,0,1,0,11,0,0,
Enmanuel Ramirez,35,6,0,1,0,5,4,1,1,
Eduardo Guerrero,184,27,12,2,1,18,24,4,3,
Jose Monserrate,35,7,0,0,0,7,3,4,1,
Alejandro Nunez,164,24,10,0,1,25,24,16,3,
Rafhlmil Torres,197,33,7,2,0,27,30,8,3,
Roque Salinas,417,80,15,3,1,21,52,5,1,L
Rafael Flores,434,75,15,1,8,49,108,3,1,
Luke Williams,414,62,14,4,12,50,89,28,6,
Alejandro Osuna,303,44,14,1,5,46,67,16,5,
Jair Camargo,368,48,16,1,21,29,119,2,1,
Dustin Harris,566,76,25,7,14,84,128,41,5,L
Edgleen Perez,175,28,8,0,0,30,31,5,0,
Kevin Vicuna,131,20,5,0,4,11,23,2,0,
Adrian Rodriguez,173,35,2,0,0,21,38,6,1,R
Drew Romo,386,54,19,3,13,29,71,6,7,S
Wilderd Patino,475,82,14,1,7,50,133,54,10,R
Weston Wilson,544,66,19,3,31,75,146,32,6,
Daniel Mateo,452,77,16,9,10,9,102,30,13,
Yorvis Torrealba,64,12,2,0,1,4,13,4,1,
Maikel Hernandez,75,12,3,0,0,14,10,0,0,R
Jhonny Severino,63,7,2,1,5,2,11,7,0,R
Ryan Castillo,139,19,7,0,4,17,34,0,0,
Felix Cotes,71,8,4,1,2,13,17,4,1,
Hunter Goodman,467,42,30,0,34,45,115,0,1,L
Diego Gonzalez,100,17,4,0,2,10,19,0,0,
Ronald Pena,109,17,5,0,1,17,26,6,2,
Johnny Olmstead,104,15,6,0,2,9,21,6,2,
David Bote,425,50,29,0,14,53,96,7,1,
Kevin Verde,133,18,9,0,4,8,23,8,3,
Ronald Rosario,319,46,17,3,4,39,96,1,0,
Skyler Messinger,435,54,19,3,18,54,113,7,1,
Jack Rogers,421,53,23,6,13,44,142,11,9,
Logan Wyatt,465,66,20,0,17,58,103,1,0,
Bladimir Restituyo,456,75,20,1,15,8,86,17,6,
Jonathan Davis,141,14,9,4,5,14,32,5,2,
Aiverson Rodriguez,74,15,0,1,0,11,16,0,1,
Hendry Mendez,272,48,11,2,3,23,40,0,2,L
Christian Olivo,115,16,7,0,1,17,24,7,3,
Roby Enriquez,184,28,12,0,0,24,32,5,1,
Bernardo Zabala,119,18,4,0,2,16,16,1,0,
Zach Cole,487,57,20,8,19,66,155,37,9,
Nick Vogt,315,45,19,1,7,28,88,16,4,
Quinn McDaniel,125,15,2,1,6,28,35,8,1,
Jose Peraza,177,30,8,1,2,6,32,1,0,
Otto Lopez,346,65,9,6,2,23,55,13,4,
Ethan Workinger,459,69,23,3,12,40,110,5,4,
Jose Barrero,335,35,17,4,19,22,105,20,1,
RJ Schreck,110,16,7,0,2,11,12,1,0,
Derwin Laya,185,32,5,0,5,17,43,7,3,
Freylin Minyety,191,34,8,0,0,20,24,5,2,
Will Banfield,495,68,25,2,23,25,122,3,0,R
Paris Johnson,79,10,2,1,4,12,20,2,1,
Cade Marlowe,379,52,17,6,11,39,99,29,4,L
Carson Williams,503,61,21,7,23,59,158,20,10,R
Steward Berroa,450,62,24,2,7,64,119,47,10,
Tyler White,120,20,4,0,2,18,23,0,0,
Jose Herrera,119,19,4,1,2,15,20,0,0,
Justin Ramirez,224,30,12,4,6,17,42,4,4,
Yorman Rodriguez,219,36,9,2,5,12,28,3,0,
Colin Moran,158,26,4,0,5,19,33,0,0,
Tyler Naquin,269,44,10,0,9,19,81,3,0,
Skye Bolt,248,39,10,2,3,33,60,3,1,
Alberto Hernandez,169,19,14,1,2,24,31,9,2,R
Juan Matheus,50,6,2,1,0,14,11,11,3,
Henry Bolte,491,72,17,5,14,62,164,32,9,R
Angel Guzman,171,19,11,2,4,27,32,6,1,L
Jim Jarvis,123,19,7,0,1,11,22,6,3,
Cam Eden,460,78,19,1,3,45,114,53,4,
Josh Lester,470,65,21,2,23,31,122,2,0,
Gabe Moncada,424,55,25,1,12,51,112,1,1,
Cal Mitchell,333,50,16,0,9,33,95,6,2,
Hans Montero,234,33,6,3,5,44,48,17,1,
German Ramirez,206,38,6,2,1,15,39,3,4,
Andrew Bechtold,206,25,14,0,8,22,56,0,0,
Eddinson Paulino,500,69,28,4,12,50,113,26,8,L
Harry Ford,563,71,24,4,15,103,109,24,8,R
Ripken Reyes,528,79,16,4,6,56,78,30,7,
Kervin Pichardo,313,49,8,0,10,39,81,8,1,
Felix Amparo,206,39,7,2,0,7,40,15,2,
Roberto Campos,371,55,22,5,5,28,81,4,2,R
Andrews Sosa,141,23,4,0,2,23,23,6,4,
Jorel Ortega,537,64,34,5,14,69,133,27,7,
Michael Toglia,367,46,15,2,16,53,82,3,1,
Kody Clemens,279,28,10,4,18,43,58,7,3,
Ethan Murray,413,65,16,3,6,53,93,10,5,
Tyler Baca,50,9,1,0,0,8,9,0,0,
Railin Tea,173,27,5,6,2,13,34,18,5,
Michael De La Cruz,408,66,17,1,7,43,67,7,2,
Nick Ward,484,80,12,0,10,64,100,28,3,
Juan Guerrero,488,79,22,6,6,32,70,14,7,
Jose Alvarez,309,64,8,0,0,24,54,6,3,
Jake Fox,453,67,23,5,8,45,103,9,5,L
Chris Rotondo,499,59,30,6,8,71,115,18,0,
Dillon Dingler,381,44,22,1,16,42,105,6,1,R
Parker Meadows,517,62,27,7,19,57,123,19,2,L
Blake Hunt,281,31,20,0,12,22,61,2,2,
Frederik Jimenez,192,26,12,1,3,24,53,6,1,
Chandler Redmond,550,66,19,0,31,81,167,3,2,L
Carlos Tavares,151,26,4,1,1,20,34,3,1,
Carter Kieboom,196,30,6,1,6,26,45,2,1,
Peyton Williams,343,47,14,1,14,34,79,3,2,
Chad Pinder,94,16,3,0,3,8,21,0,0,
Ramon Ramirez,48,6,2,2,1,4,17,1,1,
Tevin Tucker,50,8,3,0,0,5,14,4,0,
Wilson Garcia,88,14,5,0,3,1,17,0,0,
Tim Tawa,497,67,21,1,22,55,121,11,7,
Dilan Rosario,241,41,9,2,4,13,68,7,2,
Wilman Diaz,293,44,11,4,9,17,104,10,5,R
Maikol Orozco,167,27,4,1,2,23,29,9,3,
Angel Nieblas,150,26,5,2,1,13,28,8,2,
Jefferson Encarnacion,256,41,9,4,3,30,73,4,1,
Rafael Escalante,115,17,4,0,2,23,15,1,1,
Andy Blake,100,16,3,0,4,9,18,3,2,
Keyber Rodriguez,506,85,21,2,8,40,103,32,7,
Roismar Quintana,373,64,11,3,4,44,104,0,0,
Edgar Quero,455,71,17,0,6,72,76,1,2,S
Kyren Paris,514,68,23,1,14,88,151,44,5,R
Dillon Paulson,214,31,14,0,3,23,42,0,0,
Jorge Puerta,339,54,16,0,2,43,74,2,3,
Juan Sanchez,49,7,2,1,2,0,8,0,0,
Luis Parababire,113,14,8,0,2,13,25,2,1,
Leo Rivas,436,66,11,2,5,86,89,50,10,
Grant Koch,211,34,9,1,5,17,56,0,0,
William Bergolla,228,45,2,2,0,30,17,2,5,L
Juan Yepez,384,54,21,3,9,33,73,2,2,
Angel Rodriguez,113,15,8,1,1,11,32,2,2,
Hendrik Clementina,112,16,8,0,1,8,28,0,0,
Grant McCray,584,80,26,6,14,72,171,52,10,L
D'Angelo Tejada,170,31,6,1,0,13,43,7,2,
Jeral Perez,248,28,11,1,11,41,57,9,2,
Jeremy Arocho,388,65,6,5,1,78,59,47,4,
Jancarlos Cintron,113,22,3,0,1,8,16,2,1,
Dylan Neuse,310,45,13,4,3,45,57,12,5,
Robert Perez,225,36,10,0,6,18,63,16,2,
Matt Suggs,174,21,10,2,6,13,61,0,0,
Anthony Prato,455,53,25,2,12,79,104,18,6,
Jase Bowen,526,72,18,6,23,36,128,26,6,
Damiano Palmegiani,557,62,33,1,23,73,153,7,0,R
Taylor Motter,236,32,12,1,8,27,59,8,1,
Joe Donovan,229,33,13,2,5,13,65,0,0,
Eric Brown,310,53,8,0,6,36,54,39,5,R
Johnny Ascanio,240,34,15,1,4,23,47,3,1,
Jose Miranda,181,31,6,1,3,15,29,2,0,
Freddy Zamora,437,71,17,1,7,53,89,17,3,R
Cal Stevenson,289,39,7,0,9,60,67,19,5,
Nathan Martorella,582,74,30,1,19,82,101,5,3,L
Francisco Acuna,192,27,14,0,1,17,31,6,1,
Glenn Santiago,325,50,11,3,6,41,72,8,1,
Michael Arroyo,278,33,17,3,3,37,54,8,4,R
Cayden Wallace,568,81,27,7,13,54,117,18,6,R
Eli White,201,29,4,1,9,30,58,14,1,
Deyvison De Los Santos,481,77,16,2,20,25,125,4,1,R
Diego Infante,380,60,17,0,12,25,108,15,5,
Matthew Dyer,64,10,2,0,3,4,26,0,0,
Gabriel Silva,139,18,8,0,4,16,50,2,2,
Abel De Leon,73,12,2,1,0,11,24,0,0,
Josh Hatcher,399,63,13,3,14,24,108,9,2,
Alex Erro,283,46,11,0,6,30,47,7,3,
Christian Franklin,381,48,15,4,12,54,95,14,7,R
Pablo Reyes,150,24,3,1,4,23,31,7,2,
Enmanuel Valdez,232,28,8,2,10,41,48,4,3,
Carlos Blanco,139,22,9,1,0,11,29,5,2,
Hector Lantigua,76,16,0,0,0,11,17,2,1,
Drew Avans,596,89,27,2,11,77,132,23,8,
Christopher Espinola,162,23,5,2,3,28,45,11,2,
Blake Klassen,162,16,14,1,2,26,27,1,3,
Cole Foster,142,20,6,0,7,9,45,2,1,S
Marcus Lee Sang,535,72,26,7,11,69,163,22,10,
Loidel Chapelli,466,64,20,6,10,61,115,26,6,
Gian Zapata,165,16,9,0,9,19,48,5,4,L
Jorge Ramirez,79,13,2,0,2,11,26,1,1,
Drew Campbell,300,46,14,0,9,14,77,10,9,
Zach Humphreys,246,33,16,1,3,29,56,9,4,
Angel Mateo,242,39,9,2,4,17,50,15,1,
Bo Naylor,270,29,12,1,13,49,52,2,2,
Jonathan Ornelas,517,82,18,2,8,74,121,15,1,R
Lamar Sparks,343,46,16,3,9,48,120,19,7,
Abdias De La Cruz,176,24,8,1,4,27,45,8,5,
Yaikel Mijares,178,23,5,5,4,27,39,15,2,
Jacob Campbell,79,13,4,0,2,4,22,5,1,
Benjamin Cowles,453,67,18,2,10,55,127,23,4,
Jantzen Witte,439,54,26,2,17,39,109,7,5,
Edgardo Ordonez,99,11,8,0,1,18,31,2,2,
Kleiver Chauran,189,30,8,1,1,27,38,7,4,
Nik McClaughry,103,12,6,2,1,12,13,2,1,
Juan Mora,194,31,8,1,3,13,34,8,7,
Nomar Fana,104,18,2,0,2,15,23,5,1,
Yophery Rodriguez,224,24,13,2,6,41,40,12,7,
Jim Haley,410,60,17,4,11,34,94,18,1,
Brady Allen,538,62,32,3,19,66,135,5,1,
