Name,PA,1B,2B,3B,HR,BB,SO,SB,CS,Dir
Jhonny Pereda,264,54,15,0,6,32,51,0,1,
Sam Haggerty,222,33,15,4,8,29,37,19,2,
Josi Novas,135,28,5,0,3,23,42,8,3,
Junior Caminero,510,94,18,6,31,42,100,5,5,R
Ben Rice,332,50,18,1,20,44,62,11,3,
Kevin Smith,183,31,8,0,16,13,49,9,2,
Leonardo Balcazar,82,15,5,1,1,13,22,2,2,
Josue Gonzalez,147,17,13,1,2,38,21,8,3,
Lamar King,84,19,1,2,0,13,23,5,1,
Mike Boeve,120,22,6,0,5,14,25,1,0,L
Cesar Prieto,540,123,25,3,10,30,52,9,7,L
Michael Busch,469,69,26,4,27,65,88,4,0,L
Luis Leones,82,14,4,2,1,14,27,5,0,
Dariam Gutierrez,116,20,11,0,0,13,22,6,0,
Miguel Rodriguez,131,25,6,0,0,24,13,6,4,
Matthew Etzel,124,19,8,2,2,21,23,21,3,
Jackson Holliday,581,103,30,9,12,101,118,24,9,L
Albertson Asigen,206,42,8,3,2,30,47,20,5,
Yosander Asencio,106,16,9,2,0,21,27,1,1,
Darell Hernaiz,561,115,32,4,9,50,75,13,5,R
Omar Nuel,122,24,10,0,1,6,30,10,3,
Andrew Pinckney,188,39,8,1,4,19,38,11,3,
Joey Ortiz,389,69,30,4,9,32,69,11,4,R
Luis Merejo,170,31,6,2,4,20,26,1,1,
Jaison Chourio,231,44,13,1,1,44,52,20,2,S
Elio Campos,191,46,3,1,0,29,18,19,3,
Mac Horvath,99,13,7,0,5,19,26,14,1,R
Juan Sulbaran,130,28,3,2,0,17,13,4,1,
Landon Wallace,35,6,2,0,0,6,9,3,1,
Dylan Jasso,90,14,8,1,1,13,6,0,0,
Eric Wagaman,136,27,7,0,5,12,27,13,3,
Nick Dunn,537,110,25,2,9,73,57,2,6,
Daniel Cope,167,31,10,0,4,20,46,0,0,
Josue Briceno,246,39,19,2,7,30,36,3,1,
Terrin Vavra,75,15,4,1,2,4,15,2,1,
Erick Torres,160,34,5,5,0,16,20,11,4,
Roinny Aguiar,168,35,4,4,1,23,40,15,6,
Will Simpson,150,25,13,0,6,11,34,3,1,
Tyler Freeman,116,21,5,1,2,15,16,10,0,
Cristian Perez,97,20,6,2,1,2,24,1,0,
Manny Pina,50,8,3,0,3,5,7,0,0,
Trayce Thompson,23,2,4,0,1,0,8,0,0,
Pavin Smith,290,51,14,2,9,46,47,2,0,
Henry Ramos,327,55,18,3,13,41,65,6,4,
Luis Guevara,160,34,6,1,0,28,24,16,5,
Kade Kretzschmar,102,20,4,2,1,13,22,4,1,
Andrew Stevenson,470,86,23,7,16,42,97,44,5,
Darwin De Leon,134,23,6,0,4,23,21,10,3,
Jose Iglesias,135,21,13,1,4,9,22,0,1,
Josnaider Orellana,141,33,6,0,0,14,23,3,0,
David Fry,117,18,9,1,4,11,21,2,0,
Alan Roden,532,99,29,2,10,68,64,24,4,L
Echedry Vargas,224,36,15,1,11,21,55,17,3,R
Coco Montes,507,85,26,5,22,59,130,11,6,
Trey Mancini,19,2,2,0,2,0,5,0,0,
Mitch Garver,25,2,2,0,2,6,7,0,0,
Welbyn Francisca,179,32,7,6,3,24,35,11,7,S
Yimy Tovar,68,13,3,0,2,9,10,2,0,
Boston Baro,24,4,2,0,0,5,1,0,0,
Austin Gauthier,579,102,29,5,12,100,84,19,6,
Dane Myers,438,86,14,3,15,50,80,20,3,
Ruben Santana,211,39,12,4,4,17,50,7,1,R
Luis Reyes,159,20,17,0,4,22,31,2,0,
Alexis Hernandez,150,25,9,4,3,18,50,9,2,R
